User ID,Comment Tag,Comment,Comment Translated by Google Translate,Comment Translated by Team Members
922,Economy - Tax breaks - immigration reform - jail reform - education,California should provide tax breaks to small businesses that employ prison parolees.,California debe ofrecer ventajas fiscales a las pequeñas empresas que emplean a personas en libertad condicional de la prisión.,California debería ofrecer ventajas fiscales a pequeñas empresas que emplean a personas en libertad condicional.
1740,Education - Early childhood education,California should provide preschool access for all children.,California deberá facilitar el acceso preescolar para todos los niños.,California debería facilitar el acceso preescolar a todos los niños.
1757,Education - investment in art education,"As a state that has benefitted from cutting-edge innovation and creativity, California should recognize the need and value of arts education by investing more dollars in this sector of public education.","Como un estado que se ha beneficiado de la innovación de vanguardia y la creatividad, California debería reconocer la necesidad y el valor de la educación artística, invirtiendo más dinero en este sector de la educación pública.","Como estado que se ha beneficiado de la innovación de vanguardia y la creatividad, California debería reconocer la necesidad y el valor de la educación artística, invirtiendo más dinero en este sector de la educación pública."
2423,Education - K-12 - Tenure and Quality of teachers - Judge Treu,California's teacher tenure laws have been declared unconstitutional by the Los Angeles Superior Court. California school districts should be allowed to fire poorly performing teachers.,Leyes de tenencia de la maestra de California han sido declaradas inconstitucionales por la Corte Superior de Los Angeles. Distritos escolares de California se debe permitir que despedir a los maestros de bajo rendimiento.,La ley de antiguedad de maestros de California ha sido declarada inconstitucional por la Corte Superior de Los Angeles. Los distritos escolares de California debería estar autorizados a despidir a maestros con bajo rendimiento.
1700,Education - Nutrition in K-12 education,"Studies have shown a strong, direct correlation between poor nutrition and poor school performance. California should increase its investment in nutrition programs to improve student achievement.",Los estudios han demostrado una correlación fuerte y directa entre la mala nutrición y el bajo rendimiento escolar. California debe aumentar su inversión en los programas de nutrición para mejorar el rendimiento estudiantil.,Los estudios han demostrado una fuerte y directa correlación entre la mala nutrición y el bajo rendimiento escolar. California debería aumentar su inversión en programas de nutrición que permitan mejorar el rendimiento estudiantil.
490,Education - social media in classroom,Using new technology and social media in the classroom can lead to better educational outcomes.,El uso de las nuevas tecnologías y las redes sociales en el aula puede conducir a mejores resultados educativos.,El uso de las nuevas tecnologías y las redes sociales en el aula podrían conducir a mejores resultados educativos.
736,Education - vocational training,"Not all high school students are college bound. California needs to invest in improving access to vocational training for high school students through classes, apprenticeships, or partnerships with community colleges.","No todos los estudiantes de secundaria son límite de la universidad. California necesita invertir en la mejora del acceso a la formación profesional de los estudiantes de secundaria a través de las clases, el aprendizaje, o asociaciones con universidades de la comunidad.","No todos los estudiantes apuntan a asistir a los colleges una vez finalizados sus estudios secundarios. California necesita invertir en mejorar el acceso a programas de formación profesional através de clases, períodos de pasantías, o asociaciones con colleges comunitarios."
1723,Energy- nuclear power,"To reduce carbon emissions, California should increase our use of nuclear power.","Para reducir las emisiones de carbono, California debería aumentar nuestro uso de la energía nuclear.","Para reducir las emisiones de carbono, California debería aumentar el uso de energía nuclear."
2406,Environment,"California has compromised many ecosystems by damming rivers, converting forests to farms and sending delta water to the deserts of the Central Valley. California is not doing enough to preserve nature and wildlife.","California ha puesto en peligro muchos de los ecosistemas mediante la represa ríos, la conversión de los bosques a las granjas y el envío de agua del delta de los desiertos del Valle Central. California no está haciendo lo suficiente para preservar la naturaleza y la vida silvestre.","California ha puesto en peligro muchos ecosistemas mediante la represa de ríos, la transformación de bosques en granjas y el envio de agua del delta a los desiertos del Central Valley. California no está haciendo lo suficiente para preservar la naturaleza y la vida silvestre."
1568,Environment - encouraging smart energy growth,California should encourage the growth of alternative energy such as solar power.,California debe fomentar el crecimiento de las energías alternativas como la energía solar.,California debe fomentar el crecimiento de energías alternativas como la energía solar.
1561,Environment - fracking,"Fracking may have caused the drought, contaminated groundwater, contributed to climate change, and could possibly cause earthquakes. These environmental consequences are all reasons to ban fracking.","Fracking puede haber causado la sequía, el agua subterránea contaminada, contribuyó al cambio climático, y podría causar terremotos. Estas consecuencias ambientales son todas las razones para prohibir el fracking.","Fracking podría haber causado sequías, contaminado el agua subterránea, contribuido al cambio climático, y causado terremotos. Estas consecuencias ambientales son justificadas razones para prohibir el Fracking."
2327,Environment - greenhouse gas regulation,California has implemented a cap-and-trade system that can reduce greenhouse gas emissions by regulating the market and encouraging the use of clean energy.,California ha implementado un sistema de límites máximos y comercio que se pueden reducir las emisiones de gases de efecto invernadero mediante la regulación del mercado y el fomento del uso de energía limpia.,California ha implementado un sistema de cap-and-trade capaz de reducir las emisiones de gases de efecto invernadero mediante la regulación del mercado y el fomento del uso de energía limpia.
855,Environment - preserving urban open space,"There is a trade-off between economic development, affordable housing, and protection of the environment in urban planning. California should balance these aspects in urban planning.","Hay un equilibrio entre el desarrollo económico, la vivienda asequible, y la protección del medio ambiente en la planificación urbana. California debe equilibrar estos aspectos en la planificación urbana.","En la planificación urbana existe una compensación entre el desarrollo económico, las viviendas accesibles, y la protección del medio ambiente. California debería equilibrar estos aspectos en la planificación urbana."
1129,Environment - water management,California's water infrastructure is aging. California should increase its efforts to develop de-salinization and alternative water sources.,Infraestructura de agua de California está envejeciendo. California debería redoblar sus esfuerzos para desarrollar de-salinización y fuentes alternativas de agua.,La infraestructura de agua de California está quedando obsoleta. California debería redoblar esfuerzos para desarrollar planes de desalinización y fuentes alternativas de agua.
660,Environment - water toxins,We must be aware of toxins in our water sources. California must be stricter on its allowance of toxins in the water sources.,Debemos ser conscientes de toxinas en nuestras fuentes de agua. California debe ser más estrictas sobre su asignación de toxinas en las fuentes de agua.,Debemos ser conscientes de las toxinas en nuestras fuentes de agua. California debe ser más estrictas en sus controles de toxinas en las fuentes de agua.
2033,Government - Campaign contributions,Large campaign contributions can have negative impacts on political campaigns. California should limit campaign contributions.,Las grandes contribuciones de campaña pueden tener impactos negativos en las campañas políticas. California debería limitar las contribuciones de campaña.,Las grandes contribuciones en campañas electorales pueden tener effectos negativos. California debería limitar las contribuciones durante las campañas electorales.
2506,Government - Civic services,Local government is often the first line of contact for residents. California should increase its provision of state services at the local level.,El gobierno local es a menudo la primera línea de contacto para los residentes. California debería incrementar su provisión de servicios del Estado a nivel local.,El gobierno local es a menudo la primera línea de contacto de los residentes. California debería incrementar la provisión de servicios estatales a nivel local.
2061,Government - transparency,Tighter oversight of the sources and uses of political contributions would reduce access of politicians to the temptations of power. California should improve the transparency of political contributions.,Más estricta supervisión de las fuentes y usos de las contribuciones políticas reduciría el acceso de los políticos a las tentaciones del poder. California debe mejorar la transparencia de las contribuciones políticas.,Una supervisión más estricta de las fuentes y usos de las contribuciones políticas reducirían el acceso de políticos a las tentaciones del poder. California debería transparentar mejor las contribuciones políticas.
2459,Government - Transparency - Accountability,"Government needs to engage its citizens, measure program performance, and be accountable for reaching stated goals and objectives.","Gobierno tiene que involucrar a sus ciudadanos, medir el desempeño del programa, y ser responsable de alcanzar las metas y objetivos establecidos.","El gobierno necesita involucrar a sus ciudadanos, medir el desempeño de programas, y rendir cuentas para así alcanzar la metas y objetivos establecidos."
1647,Gun control,"With over 6,000 people shot in California each year, of which nearly half die, creating stricter gun laws is vitally important to saving lives.","Con más de 6.000 personas tiradas en California cada año, de los cuales casi la mitad mueren, la creación de las leyes de armas más estrictas es de vital importancia para salvar vidas.","Con más de 6.000 personas al año heridas por armas de fuego en California, de las cuales cerca de la mitad mueren, la creación de una estricta legislación sobre el uso de armas es de vital importancia para salvar vidas."
663,Gun control &amp; mental health,School shootings are an avoidable tragedy. California should develop programs and laws to keep children safe from school shootings.,Escuela de tiroteos son una tragedia evitable. California debe desarrollar programas y leyes para mantener a salvo de tiroteos en las escuelas los niños.,Los tiroteos en las escuelas son una tragedia evitable. California debería desarrollar programas y leyes que protejan de estos episodios a los niños en las escuelas.
689,Health - funding,Lack of access and affordability of mental health services has a detrimental effect not only on the people affected by mental illness but also on the economy and quality of life of others.,"La falta de acceso y la asequibilidad de los servicios de salud mental tiene un efecto perjudicial no sólo en las personas afectadas por una enfermedad mental, sino también en la economía y la calidad de vida de los demás.","La falta de acceso y la asequibilidad a los servicios de salud mental tiene un efecto perjudicial no sólo para las personas afectadas por una enfermedad mental, sino también en la economía y calidad de vida de los demás."
672,Health - Nutrition education,California obesity rates are expected to double to over 44% of the state's population by 2030. California should increase the availability of nutrition and physical education in K-12 education to stop obesity of young Californians.,Se espera que las tasas de obesidad en California se duplique a más del 44% de la población del estado de California 2030 debería aumentar la disponibilidad de la nutrición y la educación física en la educación K-12 para detener la obesidad de los jóvenes californianos.,Se espera que las tasas de obesidad de la población de California se duplique en más del 44% para el 2030. California debería aumentar los programas de nutrición y la educación física en la escuelas K-12 con el objectivo de detener la obesidad de los jóvenes californianos.
773,Health - Senior citizen care,The eventual rise of the number of seniors dependent on the government for medical and financial support will create debt for the state and negatively impact the quality of care of seniors. California should increase the availability of housing and services for seniors.,El eventual aumento del número de personas mayores dependientes en el gobierno para apoyo médico y financiero creará la deuda para el Estado y un impacto negativo en la calidad de la atención de las personas mayores. California debe aumentar la disponibilidad de viviendas y servicios para las personas mayores.,El eventual aumento en el número de personas mayores dependientes de apoyo médico y económico del gobierno creará una deuda para el estado e impactará negativamente en la calidad de la atención a los ancianos. California debería incrementar la dispinibilidad de viviendas y servicios para personas mayores.
1478,Health - Smoking - ban for health &amp; environment,"50,000 Californians die every year from smoking along with 5,000 non-smokers exposed to second-hand smoke. California should improve efforts to eliminate smoking in public areas.","50,000 californianos mueren cada año por fumar junto con 5.000 no fumadores expuestos al humo de segunda mano. California debería mejorar los esfuerzos para eliminar el tabaquismo en las zonas comunes.","Cada año 50.000 californianos mueren por fumar, además de otros 5.000 por estar expuestos al humo de los cigarrillos. California debería mejorar sus esfuerzos por eliminar el tabaquismo de las zonas públicas."
1935,Homelessness,It may be helpful to have state support for local municipalities to help people who are homeless or struggling with insecure housing.,Puede ser útil contar con el apoyo estatal a los municipios locales para ayudar a las personas sin hogar o que luchan con vivienda insegura.,Podría ser beneficioso para los municipios contar con el apoyo del estado en la ayuda a personas sin techo o en situaciones de viviendas inestables.
1206,Immigration - Open border; Environment - agricultural land management,"We need an open border for Mexican nationals in honor of our history, and also for our economy.","Necesitamos una frontera abierta para los nacionales mexicanos en honor de nuestra historia, y también para nuestra economía.","Necesitamos una frontera abierta para mexicanos nacionalizados en honor a nuestra historia, y también para el beneficio de nuestra economía."
1911,Infrastructure - Internet,"Many rural areas in California have no, limited, or expensive access to Broadband Internet. The state should provide Internet to all areas of California.","Muchas zonas rurales de California no tienen, limitado o acceso, caro a Internet de banda ancha. El Estado debe proveer Internet a todas las áreas de California.","Muchas zonas rurales de California carecen de acceso a Internet, o este es limitado o muy costoso. El estado debería proveer Internet a todas las áreas de California."
1832,Internet - Data transparency,It is now becoming more commonplace for governments to record large quantities of data. California should increase government transparency and publish the uses of the data collected.,Ahora es cada vez más común que los gobiernos grabar grandes cantidades de datos. California debería aumentar la transparencia del gobierno y publicar los usos de los datos recogidos.,Es cada vez más común que los gobiernos almacenen grandes cantidades de datos sobre los ciudadanos. California debería aumentar la transparencia guvernamental y publicar el uso de los datos colectados.
1318,Internet - Government - Information technology upgrade,Many California state online services are outdated. California should modernize government online services to increase access to state offices and agencies.,Muchos servicios en línea del estado de California no están actualizados. California debe modernizar los servicios en línea del gobierno para aumentar el acceso a las oficinas y agencias estatales.,Varios servicios online del estado de California están desactualizados. California debería modernizar los servicios online del gobierno para aumentar el acceso a las oficinas y agencias estatales.
1181,Labor - Workplace rights - safety &amp; collective bargaining rights,Improving workplace safety protections and collective bargaining rights is an important issue for many Californians.,La mejora de las protecciones de seguridad del lugar de trabajo y los derechos de negociación colectiva es un tema importante para muchos californianos.,Mejorar la seguridad en los ambientes de trabajo y los derechos de negociación de convenios colectivos es un tema importante para muchos californianos.
838,Leadership,Government involvement with leadership programs in underprivileged communities is important.,La participación del gobierno con programas de liderazgo en comunidades de escasos recursos es importante.,Es importante que el gobierno promueva programas de liderazgo en comunidades de escasos recursos.
627,Military - CA plan for returning veterans,California is home to one of the largest populations of members of the US military. California should improve its plan to support veterans and military personnel.,California es el hogar de una de las mayores poblaciones de los miembros de las fuerzas armadas estadounidenses. California debería mejorar su plan de apoyo a los veteranos y el personal militar.,En California reside una gran población de miembros de las fuerzas armadas de los Estados Unidos. California debería mejorar su plan de apoyo a veteranos y personal militar.
1952,Minimum wage,Raising the California minimum wage is a necessary step to ensure Californian families have a decent standard of living and their children have access to education and opportunity.,El aumento del salario mínimo de California es un paso necesario para asegurar que las familias de California tienen un nivel de vida digno y que sus hijos tengan acceso a la educación y la oportunidad.,Aumentar el salario mínimo en California es un paso necesario para asegurar que las familias californianas tengan un estándar de vida digno y para que sus hijos gozen de educación y oportunidades.
1463,Pensions,"As Detroit has demonstrated, our state may need to reconsider its position on pensions. Although no one should have their pre-existing promises voided, there is potential for future contracts to include a different set of benefits. California should reform its pension program to be sustainable.","Como Detroit ha demostrado, nuestro estado puede tener que reconsiderar su posición sobre las pensiones. Aunque nadie debería tener sus promesas pre-existentes anulados, hay potencial para los contratos de futuros para incluir un conjunto diferente de beneficios. California debe reformar su programa de pensiones sea sostenible.","Así como Detroit, nuestro estado debería reconsiderar su posición sobre las pensiones. Aunque a nadie deberían anularle los beneficios que ya les fueron concedidos, existe la posibilidad de que futuros contratos incluyan diferentes conjuntos de beneficios. California debería reforma su programa de pensión para hacerlo sustentable. "
396,Police - Domestic and female violence - government oversight,"Violence against women, including domestic violence and sexual assault, is an issue in California. California should support survivors and prosecute perpetrators of this type of violence.","La violencia contra las mujeres, incluida la violencia doméstica y asalto sexual, es un problema en California. California debería apoyar a los sobrevivientes y enjuiciar a los autores de este tipo de violencia.","La violencia contra las mujeres, incluyendo la violencia doméstica y el abuso sexual, es un problema en California. California debería apoyar a las sobrevivientes y enjuiciar a aquellos que hayan incurrido en este tipo de actos."
905,Police - Prison,California prisons and jails are overcrowded and over-represented by minorities and people with mental health needs. California should enact government programs for prevention and improve release programs.,Prisiones y cárceles de California están superpobladas y sobre-representados por las minorías y las personas con necesidades de salud mental. California debería promulgar programas gubernamentales para la prevención y mejorar los programas de liberación.,Las prisiones y cárceles en California estan abarrotadas y sobre-representadas por minorías y personas con transtornos mentales. California debería promulgar programas gubernamentales de prevención y mejorar los programas de liberación.
1187,Police - violence,Police brutality and corruption can be prevented with more oversight.,La brutalidad policial y la corrupción se puede prevenir con una mayor supervisión.,La brutalidad policial y la corrupción se pueden prevenir con una mayor supervisión.
1239,Privacy - personal data,California should be taking greater measures to protect the privacy and personal data of its residents.,California debe tomar mayores medidas para proteger la privacidad y los datos personales de sus residentes.,California debería adoptar mejores medidas para proteger la privacidad y los datos personales de sus residentes.
576,Proposition 13,Proposition 13 limits the amount of property tax individuals and businesses must pay. California should repeal Prop 13 for businesses.,Propuesta 13 limita la cantidad de individuos de impuestos de propiedad y las empresas deben pagar. California debe derogar la Proposición 13 para las empresas.,La propuesta 13 regula la cantidad de impuestos que personas y empresas deben pagar sobre los inmuebles. California debería derogar la propuesta 13 en el caso de empresas.
600,Proposition 28 - term limits,"Term limits for state representatives. California's current limit for terms is 12 years from Prop 28, which passed in 2012. This should be increased.","Límites de mandato para los representantes del Estado. Límite de corriente de California para los términos es de 12 años a partir de la Proposición 28, que fue aprobada en 2012 Esto se debe aumentar.",Límite de mandato para los representantes del estado. De acuerdo a la propuesta 28 aprobada en 2012 el tiempo máximo de mandato en la actualidad es de 12 años. Esto debería ser incrementado.
1513,Public libraries - support,Support for public libraries is important because they are the chief vehicles for public literacy after the completion of formal education.,"El apoyo a las bibliotecas públicas es importante, ya que son los principales vehículos de la alfabetización pública después de la finalización de la educación formal.","El apoyo a las bibliotecas públicas es importante, ya que estas representan los medios principales para a la alfabetización pública una vez finalizada la educación formal."
1061,Tax breaks,Tax breaks should be given to companies and individuals that make environmental improvements.,Incentivos fiscales deben dar a las empresas e individuos que hacen mejoras ambientales.,Incentivos fiscales deben ser concedidos a empresas e individuos que promueven mejoras ambientales.
1387,Transportation,We need to develop ways of travel that are efficient and affordable for all individuals with the lowest impact on the global environment. California should continue to develop public transportation.,Tenemos que desarrollar formas de viaje que sean eficientes y asequibles para todas las personas con el menor impacto sobre el medio ambiente mundial. California debería seguir desarrollando el transporte público.,"Necesitamos desarrollar maneras de viajar que sean eficientes, de bajo impacto ambiental y al mismo tiempo asequibles para la mayor parte de la población. California debería continuar desarrollando el transporte público."
782,Transportation - bicycling lanes,More and more Californians are choosing to ride their bicycles to exercise and commute. This has also led to more cycling accidents/deaths. California can make roads safer for cyclists by adding bike lanes.,Cada vez son más los californianos están optando por montar sus bicicletas para hacer ejercicio y viaje. Esto también ha dado lugar a más de ciclismo accidentes / muertes. California puede hacer carreteras más seguras para los ciclistas mediante la adición de carriles bici.,Cada vez más los californianos están optando por usar bicicletas para hacer ejercicio e ir al trabajo. Esto también ha llevado a más accidentes y muertes associados al ciclismo. California puede hacer carreteras más seguras para ciclistas mediante la adición de ciclovías. 
1270,Transportation - high speed rail,High speed rail will result in many great outcomes: the number of cars on the road will be reduced and transportation will be less congested. California should continue its implementation of the high speed rail.,El tren de alta velocidad se traducirá en muchos grandes resultados: el número de coches en la carretera se reducirá y el transporte estará menos congestionado. California debe continuar su ejecución del tren de alta velocidad.,El tren de alta velocidad treará grandes resultados: el numero de coches en las carreteras se reducirá y el transporte estará menos congestionado. California debe continuar su implementación de trenes de alta velocidad.
1446,Transportation - Speed limits,Unequal speed limits for trucks and cars is unsafe for all drivers.,La desigualdad de los límites de velocidad para camiones y coches es peligroso para todos los conductores.,Los límites de velocidad diferenciados para camiones y coches son peligrosos para los conductores.
897,Urban planning,California should do more for unincorporated urban areas such as the areas in Los Angeles County that are not incorporated as the City of Los Angeles is. ,"California debe hacer más para las zonas urbanas no incorporadas, tales como las áreas en el condado de Los Ángeles que no se incorporan como la Ciudad de Los Angeles es.","California debería hacer más esfuerzos por las zonas urbanas no atendidas, tales como las áreas del Condado de Los Angeles que no son tan atendidas como la ciudad de Los Angeles."
762,Urban planning - Homeless,California should increase its efforts to rehabilitate the homeless and have them join the workforce.,California debería redoblar sus esfuerzos para rehabilitar a las personas sin hogar y que se unan a la fuerza laboral.,California debe mejorar sus esfuerzos por rehabilitar a las personas sin hogar y ayudarlos a integrarse mundo laboral.
1221,Voting - clear language,Comprehension of initiatives is central to the link between voters and intended outcome of voting. California should use plain language on voter ballots.,Comprensión de las iniciativas es fundamental para la relación entre los votantes y los resultados previstos de la votación. California debe utilizar un lenguaje sencillo en las boletas electorales.,La comprensión de las iniciativas electorales es fundamental para fomentar la relación entre los votantes y los resultados previstos de la votación. California debe utilizar un lenguaje sencillo en las boletas electorales.
2394,Voting - voter system,Low voter registration rates and low rates of voting among registered voters undermine the democratic system we all are so proud of. California should do more to encourage voter turnout.,Las tasas de inscripción de votantes de Baja bajas tasas de votación entre los votantes registrados socavan el sistema democrático que todos estamos tan orgullosos. California debe hacer más para fomentar la participación electoral.,"Las bajas tasas de inscripción de electores así como también la baja participación de los electores registrados, debilita  el sistema democrático que tanto nos enorgullece. California debe hacer mayores esfuerzos para fomentar la participación electoral."
2293,Water - Allocation,"Large agribusiness firms purchase water supplied by public agencies, and resell this water on the open market for profits. We should remove all subsidies on commercial water use, and require private businesses to pay the full cost of delivering the water.","Empresas agroindustriales grandes compran agua suministrada por los organismos públicos, y los revenden esta agua en el mercado abierto para los beneficios. Debemos eliminar todos los subsidios a la utilización comercial de agua, y exigir a las empresas privadas a pagar el costo total de la entrega del agua.","Grandes empresas agroindustriales compran agua suministrada por los organismos públicos, y revenden esta agua en el mercado para lucrar. Debemos eliminar todos los subsidios al uso de comercial del agua, y exigir a las empresas privadas a pagar el costo total por la entrega del agua."
1849,Water - Drought Management,We are currently in a drought and water conservation in urban areas and agricultural industry is important.,Actualmente nos encontramos en una conservación de la sequía y el agua en las zonas urbanas y la industria agrícola es importante.,Actualmente nos encontramos en un estado de sequía donde la conservación del agua en zonas urbanas así como también en la industria agrícola es importante.
1490,Disaster Preparedness,Climate change will lead to extreme weather and rising sea levels. California should do more to stop climate change.,El cambio climático dará lugar a fenómenos meteorológicos extremos y la subida del nivel del mar. California debería hacer más para detener el cambio climático.,El cambio climático causará fenómenos meteorológicos extremos y una subida del nivel del mar. California debe hacer mayores esfuerzos para detener el cambio climático.
785,Disaster Preparedness,"Being located in earthquake country, California will inevitably experience large, devastating seismic events in the future. California should increase the seismic safety of its buildings and do more to prepare its residents.","Al estar situado en una zona de terremotos, California experimentará inevitablemente grandes eventos sísmicos, devastadores en el futuro. California debería aumentar la seguridad sísmica de los edificios y hacer más para preparar a sus residentes.","Localizado en area susceptible a los terremotos, California inevitablemente experimentará grandes y devastadores eventos sísmicos en el futuro. California debe aumentar la seguridad sísmica de los edificios y hacer mayores esfuerzos para preparar a sus residentes."
545,Natural disaster fund,"California should create a fund or take other measures to help mitigate threats related to sea level rise, earthquakes, and wildfires.","California debería crear un fondo o tomar otras medidas para ayudar a mitigar las amenazas relacionadas con el aumento del nivel del mar, los terremotos y los incendios forestales.","California debe crear un fondo o tomar otras medidas para ayudar a mitigar las amenazas relacionadas a la subida del nivel del mar, los terremotos y los incendios forestales."
723,Environment - water management,California is currently in a drought. California should create a better water conservation plan.,California está en una sequía. California debe crear un mejor plan de conservación del agua.,California esta pasando por un período de sequía por lo que debe crear un mejor plan de conservación del agua.
754,Environment - alleviate drought,California should do more to alleviate effects of the drought.,California debe hacer más para aliviar los efectos de la sequía.,California debería hacer mayores esfuerzos para aliviar los efectos de la sequía.
1236,Environment - Water management,"Water is important to the environment, working families, agriculture, the economy, and recreation. California should do more to manage the drought.","El agua es importante para el medio ambiente, las familias trabajadoras, la agricultura, la economía, y la recreación. California debe hacer más para gestionar la sequía.","El agua es importante para el medio ambiente, las familias trabajadoras, la economía, y la recreación. California debería hacer mayores esfuerzos para manejar la sequía."
